"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U34","U35","U36","U37","U38","U39","U40","U41","U42","U43","U44","U45","U46","U47","U48","U49","U50","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U34","U35","U36","U37","U38","U39","U40","U41","U42","U43","U44","U45","U46","U47","U48","U49","U50"
2010,7,7,3,0,1,-1,-1,961,0.759183800410648,0.43889452373818,22.2236854033309,0.72567374897588,0.254570016569618,0.160642333516263,0.644214077793046,1.02558529166775,1.21401952212548,1.94562502867621,3.87627861736605,1.3225469758033,0.558076499124099,0.398512861169702,0.198520567968885,0.0546183079542968,0.289511208650822,0.218018257253469,0.374145021625603,0.0563826694079632,0.0762627082085357,0.335027889299947,0.0981890645304308,0.644705364880629,1.27809190246952,0.0201513147141508,0.112115985447991,0.931006119215639,1.11452747879754,0,0,0.080878670800997,0.0199377116325931,0.0554812644037898,0.135749030391532,0,0.0952456140665661,0.022633382521851,0.107260787404185,0,0.0661443302351488,0.0924773181295786,0.119918906017293,0.0403474860754287,0.142293828810459,0.194321131385461,0.145564091989107,0.172883926120333,0.0239384973501683,0.266687719386385,2.22788014064652,0.908001067331878,0.337330530519138,20.6150598203974,2.49383306543235,0.132359149487212,0.196702805744829,0.834248195331645,1.32286738042564,0.936677281030995,2.83808433579396,2.67384492638426,2.41070088212092,1.41548781261986,0.566678295218427,0.683692199326535,1.73112054211437,0.570388580745083,0.321961788801064,0.208660306250428,0.27892717595964,0.161552282643699,0.987519086503353,0.517805910158031,0.203004096650781,0.357184936949924,0.0320383262028353,0.152435703122817,0.557326752307832,0.781454057693851,0.32304048436293,0.499737225489068,0.553569474103232,0.131506873191797,0.626465797746419,0,0.454619982602456,0.320470839291791,0.0924431416365294,0.740989089923565,0.11870350448323,0.200289201484183,0.484438972787907,0.370913207001636,0.11355567021769,0.623103685242701,0.582581044640395,0.438309251294712,0.343569876531438,0.306182929166399,0.385369863561459,1.70476619391178
2011,7,7,3,0,1,-1,-1,999,1.05447671854131,13.4664713240815,1.62834707964432,12.1307633352302,2.14654998143838,0.479854851567351,1.69601931397135,1.16266265368971,1.05964066505294,1.16634483926816,1.05546198330784,1.85164478168233,0.851230120448038,1.2954261150338,0.323043202353137,0.265550105388556,0.350244237476164,0.0831486187283454,0.405598730329865,0.377076281284668,0.395189697855229,0.244233612380922,0.261325058242671,0.0332266053324538,0.149433754815433,0.285889061196456,0.0687869358373947,0.176499557519525,0.139264276911483,0.201026854531028,0.143458413790183,0.30968030747061,0.0992915057658467,0.140776948111862,0.0348841684102633,0,0.0740030434249071,0,0.038535443721522,0.0789795964417337,0.281971184830725,0.0708559918471079,0.327685538106023,0.125862744194975,0.173192158930703,0.263782424483899,0.451736167887262,0.236171828320667,0,0.0687869358373947,0.464225847721805,2.70039048940535,10.8040985314223,2.18270726647834,8.43296420807432,0.620687824538486,0.45463400543588,1.23200404244474,0.769039720002436,2.14653839008819,1.56260866890807,1.81902285845169,1.5090740180349,1.59087224446559,0.746498407657586,0.237686431412744,0.884408428488015,1.03258258991565,0.464880759007793,0.603264093304496,0.517549922399774,0.154866234273242,0.717085356539113,0.686173157462156,0.936453590861194,0.448913674114908,0.197105114381898,0.425220954317407,0.348383825769952,0.347566635581241,0.0354598721365888,0.396909081467409,0.249816779391259,0.114964943120472,0.195020603238592,0.257451615386018,0.206992536097783,0.0645657524749078,0.0269498892021473,0.280956941688708,0.589891538963474,0.165279130531276,0.186025715487682,0.128922860646315,0.0332478561411437,0.152797178263529,0.2478443179665,0.944984824604325,0.287730153985678,0.106335182900687,0.372037907733471,2.19422327289655
2012,7,7,3,0,1,-1,-1,928,1.08059039914923,3.37654834857347,8.40916064470576,5.7227377330695,10.5686329204404,2.03918923630785,0.574440589614624,0.245778816063599,1.26334129481603,0.784992023989052,0.103326388828355,1.3101709394259,2.3939168751471,1.2560953285855,1.32971434548767,0.750902204517124,0.6322841028949,0.572742963240614,0.153910860450318,0.0351271367428238,0.129344310881371,0.644106468849973,0.189088119666315,0.373397170477427,0.306389961558242,0.13298581751933,0.188329744854819,0.495510769794018,0.0995911749579407,0.121326894411562,0.0771450239280329,0,0.0899175376354396,0.0694392384870858,0.0655863457666123,0.378444285602211,0.201440040446657,0.216232707746755,0.337383083883228,0,0.0243965690077494,0.151217322326729,0.385173772435255,0.135681534880883,0,0.421699979951011,0.0561458869062666,0.245767919873779,0.501375099155327,0,1.14977030831859,0.584778894516166,2.77863518684786,10.1608277617483,3.96522372056939,6.0481742344337,2.36859848848055,1.0797971565303,0.280226030561633,1.36245303742187,0.493399088206836,1.15231347902266,1.64684795020877,2.32685082680288,1.27811870745038,1.48617491435595,1.1001817484462,1.10868949345793,0.672874589213644,0.126676923613351,0.0203279317288331,0.531289498688099,0.127123667395985,0.678111298041301,0.321888701958699,0.416040498958324,0.285268787210488,0.135681534880883,0.219118018811182,0.152226309504093,0.303129821563995,0.183772958271951,0.080511946582519,0.0970676173955491,0.375783436048083,0.0756217365911488,0.0571919211290196,0.176649029367411,0.209871512129639,0,0.073882704695822,0.509802212362381,0.278940280162833,0.306636215448182,0.0351816176919255,0.0836326153470654,0.552288635709865,0.159570341443004,0.193004210287747,0.316490729521701,0.325835301911628,2.90672643589989
2013,7,7,3,0,1,-1,-1,664,1.09224182143539,1.30059404772122,2.95294555892079,6.76662738637976,6.44766318533239,7.27126161178448,0.89223980050236,0.374215827887793,0.63870010858891,0.621136324595612,0.30141747134123,0.884256262323588,0.959941056972703,1.23156895220975,0.921163871532954,0.526642782990208,0.415220729588374,0.527623404502153,0.305883562792372,0.309036474131865,0.620631091338371,0.0758148335887426,0.229697798457806,0.350546609089688,0.0553134486313999,0.251066820274631,0.0809098018790669,0.0372806717410845,0.252307519665831,0.206934588665303,0.117062758881414,0.0868382984545448,0.197612288944136,0.406363159192433,0.160551191150292,0.0921443135485269,0.391630386868404,0,0.149775013448371,0.619601438750828,0.105740843990238,0.0496812702954011,0.0952162170239902,0.264799785013656,0.251066820274631,0.0736937066226871,0,0,0,0,1.05594177120625,1.55390777032974,0.887441150451514,3.10224092054267,14.1670283241438,5.71763950076474,4.91097384968087,1.75365397695531,0.871382407300463,0.351693509901485,0.774872196237884,1.37476314259861,1.66081896477663,2.86006364745241,2.51038254343631,1.96266066151107,1.35107260594155,0.125690096400637,1.13422308107612,0.416101157163229,0,0.827932347177705,0.190257627604547,0.126730407917657,0.228318532983396,0.177021368979181,0.159291305686032,0.204493693814917,0.535939501280628,0.373395090318013,0.502131508763367,0.164569607563372,0.546491841463517,0.290008153228336,0.673793568001177,0.436065332074898,0.393376319516845,0.160719602236039,0.172335703580799,0,0.073241768012834,0.421654459421093,0.159291305686032,0,0.0965464514228029,0.183970990998619,0.278456005460442,0.852710094641488,0,0.302749837525938,0,2.96329537944361
2014,7,7,3,0,1,-1,-1,1018,0.281662321490625,20.04003449422,0.600749131858008,2.10068277491232,2.10632039680987,3.27614571105001,3.39551183677942,1.91460241678055,0.756495071177986,0.513713570282776,0.205470929521778,0.209903356014826,0.227956691257831,0.184640855135202,0.283017680876788,0.194538732753731,0.561341442809711,0.268920389840195,0.116718838294156,0.349726735210828,0.0462906363799379,0.282943893403043,0.178961808690984,0.0785564746799449,0.0425391258726793,0,0.0308690543671802,0.103894057550398,0.0673770251489976,0.0976544852091326,0.0673770251489976,0.0483269117518902,0.0440666560309143,0,0.0101774933085117,0.0396018666107849,0,0,0.114523337320964,0.283591151944668,0,0,0.0708126734879432,0.138618183791497,0.0716100960112252,0.029542174356849,0,0,0,0,0.489968243424721,0.407948935547082,31.8322216797333,0.850111957604462,1.55824387055223,5.09099652494656,2.13502242957969,3.51734660658658,1.27137111780152,1.24163994395052,0.881070333650386,0.31846803120159,0.128847168847125,0.668359170081991,0.535176663523061,0.244582174158011,0.860201423751313,1.15628466554934,1.4773287857466,0.160676754890077,0.333688963066444,0.0140804623145106,0.268170864448993,0.14182211357254,0.0189763259233622,0.136981914198269,0.410263532091933,0,0.498703644702492,0.12126518229053,0.137104893321177,0.0201271516103715,0.309658842450073,0.0292483189789512,0.0166449006564289,0.0552422220106118,0.225097103020932,0.0887352625055399,0.328525134421359,0.0662973979015671,0,0.0300172621264017,0.0886912489247094,0.108317422423863,0.0246010026500836,0.0422763389047795,0.0229789727447713,0.0788943436386731,0,0.0163678740006134,0.169386265826183,1.93648105000455
2015,7,7,3,0,1,-1,-1,952,0.158643623477283,2.42089117955736,14.0890501410195,3.07453599364528,1.87951397055934,6.95785323953553,2.26261231705332,2.27839807598005,0.589327008298141,0.462229215281841,0.185680460311223,0.608494940568364,0.408710389291577,0.553059835098928,0.210872942364941,0.771075585066754,0.281103985904129,0.366523128371631,3.07866310137076,0.0841433353075522,0.272205873148292,0.0311981944160575,0.123888581448856,0.018138724078103,0.0506812253673961,0.149937309918647,0.232114703454894,0.110745198962127,0.200851434311215,0.27704537789194,0.349920510363964,0.152190950485753,0.031890041520245,0.167339662078927,0.0942538929885492,0.163741714638586,0.108063435186984,0.206211536875836,0,0.0739745528702621,0.0224850308860926,0.082687716400227,0.0730617941907277,0.146609936345785,0,0,0,0.0324962639828251,0,0,0.724459817682876,0.205831363467099,2.55167254465561,15.6421852401784,4.05471380348854,2.07209063950562,3.81128979737014,2.3208678982173,2.81967596039381,2.93747834231721,1.29219914133897,0.309406354941026,0.229982649878871,0.422540481403998,0.580516232676744,0.24677021711241,0.436668547269212,0.768453758540737,0.845091237764988,0.86188907995552,0.170733822872243,0.314739057620332,0.151824477019673,0.566696415521316,0.550148597284277,0.0666502210271686,0.36968096515411,0.185074237848643,0.509764591316582,0.223283377919511,0.151363816447826,0.435137578677272,0.0252130319677031,0.347928881200177,0.0359058372116301,0.126025772503376,0.406482436116953,0.104085314337906,0.260954795241085,0.973853573814135,0.141628294697069,0,0.0914625296721492,0.449303319384794,0.0538253622072183,0.101172364030424,0,0.0599423866036481,0.121184555266896,0,0.112916639873289,5.86611850912772
2016,7,7,3,0,1,-1,-1,990,1.16433769067802,0.30155613647215,2.87543470291527,16.0428116508736,4.7325798368045,3.36786471435833,3.82867554089622,3.37978992319685,1.54038565765999,1.52871739248465,0.426229232339494,0.276180850519464,0.444426889426411,0.241444754249088,0.47200382990484,0.547164049813013,0.95280084294987,0.928140968765273,0.669207251715968,0.618611181882576,0,0.283333288830019,0.600124673095867,0.021640366299558,0.228681539607102,0.0156315791957385,0.0791907087424846,0.0166778269223118,0.349735592375303,0.101926024508697,0.18329319722171,0.0209031227169485,0.1475192500765,0.109174186929068,0.035849518810854,0.0901150128538167,0.129042817511876,0,0.168155352908175,0,0,0.016881030734375,0.217975553640961,0,0,0.122368999750395,0.0434419521524884,0.114260999712038,0.113248339392418,0.070800574485726,0.378839080499728,2.05245590531858,0.432756944880731,4.06339441690305,12.9903142147263,3.66289817640029,2.17525146513727,2.92923333200159,2.66222016420984,3.03458023390841,1.54451019123376,0.512160933657364,0.517996745615378,0.582262890078476,0.649209309616392,1.7859179993352,1.47080598541699,0.935397528037382,2.42740388472285,0.955415622581129,0.744421211475265,0.440151212521345,0.500794955144606,0.102008313655731,0.138779806787434,0.123270821627072,0.134270697404048,0.192877363795634,0.183451058034387,0.0779496540555862,0.0824251760320197,0,0.0407331277817615,0.0465840540729038,0.0943436673891486,0.0845159921148188,0.431927335929002,0.12848022844542,0.244921050868682,0.0706477517840917,0.0167987415873412,0,0.0209031227169485,0.119688724675578,0,0.351949002493479,0.0241611011913504,0.0317686488661135,0,0,0.108361371680815,2.08245617720864
2017,7,7,3,0,1,-1,-1,1042,0.0863354402872912,24.2756485150955,1.45020459769549,3.19047544071464,3.94719793727697,1.5384203580252,2.31349449149452,2.84503333211722,0.821003001256788,0.476225893606172,0.888655498776155,0.206016496913428,0.191988560773174,0.203003684240635,0.186134163216287,0.193879234123745,0.23099584385558,0.53865952740764,0.251993149200066,0.101371629360074,0,0.31545653895869,0.123653541323967,0.114784738277648,0.0291294306952379,0.0405626685304533,0.123465588960557,0.0111552913316983,0.0266533972298099,0.0673395090497908,0.0945153501372144,0,0.00780161589814498,0.0142772119442676,0.0690366551787156,0.0521703197876463,0,0,0.0488031054126609,0.00780161589814498,0,0.0626239753898361,0,0,0.0124359159095073,0.0334579099118996,0,0.206612210336439,0.0502684967206016,0.0179191871894918,0.564350066979134,0.0891993246043318,24.1871420657292,0.776566602660126,4.64806911479876,5.0874268780688,2.08791342780345,1.32812953766084,1.80458798249631,1.92509650736645,1.72132906754738,0.822759081601358,0.342254882502655,1.15133804044099,0.622980054646513,0.697030100196688,0.856395386976833,0.968591798215999,0.097356935021308,0.295904714714156,0.201424406543001,0.75684753266849,0.092693167902123,0.114470156991433,0.123952194443792,0.497071084961628,0.073055331559079,0.0142772119442676,0.250914015927099,0.0472206420817489,0.0956319146011996,0.317043780739519,0.027730937686138,0.0589095269875343,0.0309404632138559,0.0163837119494323,0.0421961019938154,0.126026838116175,0,0.127970870824155,0.281861646815831,0.0674287067815785,0.0219784803941514,0.0777636975441579,0,0,0.0231428293573086,0.0382172460294287,0.0808290731660403,0.0120313404831846,0.136357846837157,0.70454660191644
2018,7,7,3,0,1,-1,-1,1021,0.131729081191952,0.380646131399874,16.0932543181537,1.67663684757035,2.41706822654999,3.48422700353863,1.60790018069196,1.98920933699605,1.13688745701687,0.62456525276129,0.650476232361991,0.153720809518742,0.243739902700759,0.0602561744804222,0.107051597161786,0.131648306584331,0.23890268166733,0.279201638250398,0.280056502847713,0.198098042384473,0.349680007605602,0.302696952241954,0.0928184381773577,0.0196088774019918,0.0510251513533142,0.0285748588478456,0.00656546107563792,0,0.0565127762585187,0.0749470562413652,0.0410091000083964,0.0353018691387242,0,0.0533768703980929,0,0.0613542043027607,0.0256400481043079,0.0277443949132494,0.125403419732686,0.0608653496462253,0.0547348934887092,0.00705683993866145,0,0.0491227410634235,0.06745773559107,0.0392901153899767,0.0898020114240369,0,0.0405042587107694,0.0632397865493972,0.0940940038560283,0.0797430485688208,0.40198156603975,40.4706833988686,4.83944233513804,2.37328670641546,3.919581103558,1.60626365348548,1.93054593680964,1.22393976617316,1.16125782925764,1.30017921613645,0.397879730496531,0.394960064991922,0.458471624439875,0.447300327925555,0.289566871492841,0.327586469617124,0.464310114046931,0.1179973978965,0.343301337810086,0.308039855975172,0.208631556059458,0.259265455407112,0.144771656116143,0,0.0778877568000419,0.0540971106493739,0.120250672888241,0.162386410392508,0.0884103322469121,0.0386624293765939,0.104237948329678,0.377096255675394,0.0284907186315745,0.0284907186315745,0.161631672652556,0.00796134726357632,0.0440011260989985,0.0305193392458719,0.149957217644934,0,0,0,0,0.0384806865094483,0.0288415833334252,0.0260758944245925,0.0171351550436199,0.179345712384121,0.0353195385841411,0.9280304051778
2019,7,7,3,0,1,-1,-1,525,0.718796998050738,1.75382349664163,0.422951197217551,13.5789648618059,2.26517891176707,2.1081475786858,8.98389655643502,2.30627294032003,2.49490418443569,1.99431440740572,1.10239375851377,1.68685869047933,0.503963972689313,0.573102904058217,0.182779624763487,0.100846746672433,0.0970117706205459,0.131476977450355,0.29551333903097,0.341693449891525,0.691718859159659,0.366813272114284,0.114764939225764,0.199991813857203,0,0,0.372543863705126,0.0424792860621937,0.315345852065843,0.0760637607492884,0.0925672812645949,0,0,0,0,0.0875511909153588,0,0,0.185544307118764,0.0194431827664867,0.348584741458528,0,0,0,0,0,0,0.0233758559269198,0,0,0.820114732276312,1.03899708406211,2.01403026717666,0.480997861351967,13.2495564587726,2.89007003234955,4.77312201477918,6.55715724861437,4.18065466890763,1.87006409965618,2.00696107938215,1.68414504392703,1.32591016120942,0.415256456295191,0.533747009137902,0.626985046670127,0.849406366850572,0.795457148611898,0.192001065277606,0.968036903610006,1.0831182648142,0.551430185784759,0.209080561283595,0.361021437559875,0.314685302958807,0.0233758559269198,0.214623049486341,0.0663757071794266,0.0731240984981082,0.20649523332162,0.306232315820864,0.0424792860621937,0.537350136827717,0.159551043582286,0.486005202706408,0,0,0.0760637607492884,0.0560446024921191,0.0310705968492799,0.745087727410252,0,0.0292143517869027,0,0,0,0,0,0.537350136827717,0,0.0935836228266349,1.94428619700109
2021,7,7,3,0,1,-1,-1,1187,0.699034152757053,22.0615125249441,2.52824519033541,1.59865324591957,0.429239340974857,4.39083662288985,1.4981717899586,1.13010486723057,1.02192381247476,0.953374182903037,0.830674575190587,1.10010156558654,0.674346135980995,0.332804886941639,0.285844101046635,0.19205254759158,0.236102179466415,0.133786933309106,0.0927301398358793,0.0601960723858375,0.124094042271339,0.0614121546562584,0.0983426785179652,0.285691365753529,0.0938311872969361,0.118340368444991,0.0629646412431392,0.0858870186973181,0.0749345448309671,0.00403008504402621,0.0419799719853505,0.00510648218879071,0.0434270905535701,0.0417093018456702,0.0355646063353913,0.0238938899198172,0.00572515679377435,0.00834582375332222,0.0327370700548021,0.00913656723281693,0.0645287279788635,0.042325076413443,0.016538428874004,0.0665239535799357,0.0203534278248913,0.0316157223332692,0,0.0109751908245027,0,0.0165915962228697,0.212304957453627,1.67094054011656,35.6622612217508,2.36786684916085,0.645442915118951,1.07368996002816,3.87437576276114,1.01917022714305,0.629904032403624,1.19712086045728,1.0743946690704,0.992267065277426,1.04842580252621,0.852957977779306,0.700044332385503,0.550832584491364,0.370066015045383,0.255368093337234,0.167382897717858,0.11074082093393,0.0782763543769491,0.121793829423591,0.270137499512613,0.208195604725837,0.168945534434977,0.0833809032075992,0.285909351883879,0.113449939028409,0.334483041807657,0.53832182396371,0.018971076754381,0.0195216004849094,0.00743811210632279,0,0.053907825033621,0.0540412267453206,0.0436460433629901,0,0.0258311147766722,0,0.23685908917845,0.0320850450218935,0.0136606252817598,0.196430153761375,0.175028845824292,0.0143962680542481,0,0,0.0290018221272134,0,0,0.624388644968102
2022,7,7,3,0,1,-1,-1,1094,0.0125707417439027,35.303665568114,6.98346911004396,3.88031280844388,0.431601029118699,0.431418234246515,3.97699358115806,0.522392058626711,0.704629817226385,3.60091700793425,0.335429617396674,0.432382528544164,0.385863287448089,0.240583468497989,0.24588451979135,0.283986467798306,0.0862784094681336,0.0256921787136994,0.116558688126798,0.0407694181221255,0.0187873078044137,0.0799434888625703,0.0218842945223432,0.0486375563915762,0.0418841587612078,0.00207492718679482,0.243588030842342,0.0225928813864305,0.0786682892415842,0,0,0.00229392160529717,0,0.0470873942591997,0.0103779734807977,0,0.0355682364991019,0.00988298961342078,0.00746121429134264,0,0,0,0.0265958836997818,0.00354550166414706,0,0.00464329783474031,0.0197926796014304,0,0.0034633466654123,0.00309852712415575,0.173929834352622,0.0507689651400012,17.673682932908,9.46620267098019,1.38820330827705,0.610517671894521,0.421756549660936,2.35721253265058,0.632566789883076,0.720222579251872,0.682310101210748,0.66490351085382,0.843895376800359,0.51749587743649,0.485553500459673,0.321688937123914,0.29259913574379,0.146621512773187,0.0666030574742713,0.170660322137349,0.142921200283299,0.127871944921317,0.124928742091644,0.0675278146787795,0.0843118241859202,0.0611964883544108,0.157266489999873,0.00698676917364939,0.0935686386683595,1.69700417997445,0,0.00573005442737858,0.0244447064047862,0.036831883073391,0,0.147129846827858,0.0340791771470344,0.021994690301893,0.00975718977160818,0.0159688778790693,0.00292343428310229,0,0.0626953036125781,0,0,0.054791479265552,0.00573005442737858,0.0622632196661075,0.0110033784086661,0.00990019081628087,0,0.470506812441401
